,,,Mg/Ca,StDev,,RelStDev
23271,24528,7865,0.780335,0.21693,24528,0.277995988902202
23193,24592,7863,0.373706,0.118118,24592,0.31607199242185
23114,24657,7861,0.269438,0.169849,24657,0.6303824998701
23036,24721,7858,0.367915,0.125821,24721,0.341983882146692
22958,24786,7856,0.473932,0.195427,24786,0.412352404986369
22879,24850,7854,0.198628,0.073312,24850,0.369091970920515
22801,24914,7852,0.081831,0.0283,24914,0.34583470811795
22722,24979,7850,0.063734,0.01591,24979,0.249631280007531
22644,25043,7848,0.044426,0.011485,25043,0.25851978571107
22573,25124,7845,0.049681,0.017815,25124,0.358587790100843
22502,25205,7842,0.041657,0.007848,25205,0.188395707804211
22431,25286,7840,0.09005,0.037706,25286,0.418722931704609
22361,25368,7837,0.226054,0.220333,25368,0.974691887779026
22290,25449,7834,0.456494,0.182171,25449,0.399065486074297
22219,25530,7832,0.769158,0.236294,25530,0.307211262185403
22148,25611,7829,0.651293,0.173049,25611,0.265700690779726
22064,25673,7827,0.973965,0.323106,25673,0.331742927107237
21980,25735,7825,0.758745,0.450471,25735,0.593705395093213
21896,25797,7823,0.225849,0.106795,25797,0.472860185345076
21812,25859,7821,0.097947,0.032359,25859,0.330372548419043
21728,25920,7819,0.115387,0.031231,25920,0.270663072963159
21644,25982,7817,0.147001,0.043747,25982,0.297596614989014
21560,26044,7815,0.096466,0.035437,26044,0.367352227727904
21476,26106,7813,0.19847,0.097304,26106,0.490270569859425
21392,26168,7811,0.120331,0.04287,26168,0.356267296041752
21313,26239,7808,0.139337,0.062678,26239,0.449830267624536
21235,26309,7806,0.152067,0.049923,26309,0.328296080017361
21156,26380,7804,0.124407,0.03684,26380,0.29612481612771
21077,26450,7801,0.111611,0.024791,26450,0.222119683543737
20998,26521,7799,0.105522,0.045845,26521,0.434459164913478
20920,26591,7797,0.137845,0.071244,26591,0.516841379810657
20841,26662,7794,0.074951,0.039079,26662,0.521393977398567
20762,26732,7792,0.068115,0.029633,26732,0.435043676135947
20683,26803,7790,0.055276,0.016016,26803,0.289746001881468
20605,26873,7787,0.064184,0.020107,26873,0.313271220241805
20526,26944,7785,0.085562,0.022396,26944,0.261751712208691
20449,27010,7783,0.06984,0.028029,27010,0.401331615120275
20373,27076,7781,0.100065,0.038618,27076,0.385929146055064
20296,27142,7779,0.09586,0.048581,27142,0.506791153765909
20220,27208,7776,0.109027,0.039221,27208,0.359736579012538
20143,27274,7774,0.114226,0.034956,27274,0.30602489800921
20066,27340,7772,0.17242,0.04785,27340,0.277520009279666
19990,27406,7770,0.135643,0.057669,27406,0.425152790781684
19913,27472,7768,0.183615,0.08813,27472,0.479971679873649
19836,27538,7765,0.229083,0.115878,27538,0.505834129987821
19760,27604,7763,0.088798,0.044279,27604,0.498648618212122
19683,27670,7761,0.113262,0.023244,27670,0.205223287598665
19607,27736,7759,0.152228,0.082329,27736,0.540826917518459
19530,27802,7757,0.081531,0.033019,27802,0.404987060136635
19445,27866,7755,0.121429,0.084498,27866,0.695863426364378
19361,27930,7753,0.161653,0.045539,27930,0.281708350602835
19276,27995,7750,0.125271,0.041035,27995,0.32756982861157
19191,28059,7748,0.123702,0.045384,28059,0.366881699568317
19106,28123,7746,0.114571,0.025871,28123,0.225807577833832
19022,28187,7744,0.09573,0.046451,28187,0.485229290713465
18937,28252,7742,0.190458,0.121569,28252,0.638298207478814
18852,28316,7740,0.141998,0.051876,28316,0.365329089142101
18768,28380,7738,0.130161,0.043356,28380,0.333095166755019
18683,28444,7735,0.135996,0.045228,28444,0.332568604958969
18598,28508,7733,0.259033,0.07779,28508,0.300309227009686
18513,28573,7731,0.153067,0.085074,28573,0.555795827970758
18429,28637,7729,0.163135,0.049201,28637,0.301596836975511
18344,28701,7727,0.572479,0.215962,28701,0.377240038499229
18263,28766,7725,0.312111,0.064894,28766,0.207919618340911
18183,28831,7723,0.394727,0.104656,28831,0.265135144036258
18102,28896,7720,0.320163,0.038614,28896,0.120607315648592
18021,28961,7718,0.255546,0.085212,28961,0.333450729027259
17941,29026,7716,0.217644,0.095079,29026,0.436855599051662
17860,29091,7714,0.163099,0.046788,29091,0.286868711641396
